alimento,peso_crudo_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,fibra_g,azucar_g,carga_glicemica,cantidad_sugerida,peso_bruto_g,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol_g,categoria,cantidad,medida,acido_folico_g,vitamina_a_g,selenio_g,calcio_g,hierro_g,sodio_g,potasio_g,fosforo_g,zinc_g,acido_ascorbico_g
Pasta de cacahuate,1.0,10.0,43.0,3.1,5.7,0.6,0.0,0.0,0.0,,,1.9,3.4,0.1,0.1,grasas,1.0,cda,0.0,0.0,0.0,0.0,0.0006,0.0007,0.0,0.0,0.0,0.0
Pate,5.0,22.0,69.0,3.1,6.1,0.3,0.0,0.0,0.0,,,0.1,0.0,0.0,0.0,grasas,1.0,cdta,0.0,0.0002143,0.0,0.0,0.0012,0.299,0.1509,0.0433,0.0,0.0
Paté de cerdo,1.0,13.0,61.0,1.5,5.8,0.6,0.0,0.0,0.0,,,0.3,7.9,0.1,0.1,grasas,1.0,cda,0.0,0.0001319,0.0,0.0,0.0007,0.0181,0.0906,0.026000000000000002,0.0,0.0
Paté de Foie Gras,1.0,13.0,61.0,1.5,5.8,0.6,0.0,0.0,0.0,,,0.3,7.9,0.0,0.0,grasas,1.0,cda,0.0,0.0001319,0.0,0.0,0.0007,0.0181,0.09190000000000001,0.0265,0.0,0.0
Paté de ganso,1.0,13.0,61.0,1.5,5.8,0.6,0.0,0.0,0.0,,,0.3,7.9,0.0,0.0,grasas,1.0,cda,0.0,0.0001319,0.0,0.0,0.0007,0.0181,0.09190000000000001,0.0265,0.0,0.0
Paté de hígado de cerdo,1.0,13.0,61.0,1.5,5.8,0.6,0.0,0.0,0.0,,,0.3,7.9,0.0,0.0,grasas,1.0,cda,0.0,0.0001319,0.0,0.0,0.0007,0.0181,0.09190000000000001,0.0265,0.0,0.0
Paté de hígado de ternera,8.0,35.0,71.0,4.7,4.6,2.4,0.0,0.0,0.0,,,1.4,1.9,0.0,0.0,grasas,1.0,cda,0.0,7.67e-05,0.0,0.0,0.0037,0.0334,0.1348,0.11259999999999999,0.0,0.0
Paté de pollo,1.0,13.0,61.0,1.5,5.8,0.6,0.0,0.0,0.0,,,0.3,7.9,0.0,0.0,grasas,1.0,cda,0.0,0.0001319,0.0,0.0,0.0007,0.0181,0.09190000000000001,0.0265,0.0,0.0
Paté de ternera,1.0,13.0,61.0,1.5,5.8,0.6,0.0,0.0,0.0,,,0.3,7.9,0.0,0.0,grasas,1.0,cda,0.0,0.0001319,0.0,0.0,0.0007,0.0181,0.09190000000000001,0.0265,0.0,0.0
Pepita limpia,1.5,15.0,79.0,5.0,6.4,2.0,1.2,2.0,0.0,,,1.2,2.0,2.9,2.9,grasas,1.0,cda,0.0,0.0,0.0,0.0,0.0,0.0027,0.1227,0.1779,0.0,0.0
Pepitas,1.2,12.0,66.0,3.0,5.6,2.1,1.1,1.7,0.0,,,1.1,1.7,2.5,2.5,grasas,1.0,pieza,0.0,0.0,0.0,0.0,0.0,0.0021000000000000003,0.09809999999999999,0.1427,0.0,0.0
